week,date,pres1,task,case_study,datacamp
1,8/31/21,ps01,TK_01,CS_01,
2,9/7/21,ps02,TK_02,CS_02,Introduction to R
3,9/14/21,ps03,TK_03,CS_03,Introduction to Data Visualization with ggplot
4,9/21/21,ps04,TK_04,CS_04,Introduction to the Tidyverse
5,9/28/21,ps05,TK_05,CS_05,Communicating with Data in the Tidyverse
6,10/5/21,ps06,TK_06,CS_06,Visualizing Geospatial Data in R
7,10/12/21,ps07,TK_07,CS_07,Spatial Analysis in R with sf and raster
8,10/19/21,ps08,TK_08,CS_08,Interactive maps with leaflet in R
9,10/26/21,ps09,TK_09,CS_09,Intermediate Data Visualization with ggplot2
10,11/2/21,ps10,TK_10,CS_10,Exploratory Data Analysis in R: Case Study
11,11/9/21,ps11,TK_11,CS_11,
12,11/16/21,ps12,TK_12,CS_12,
13,11/23/21,,TK_13,,
14,11/30/21,ps13,TK_14,,
15,12/7/21,,TK_15,TK_15,
